Title,AuthorName,ISBN,Stock,IsActive,Description,Rating,RatingCount,Location,CoverImage
"Ready Player One","Ernest Cline","9780307887436",20,TRUE,"In the year 2045, reality is an ugly place. The only time Wade Watts really feels alive is when he's jacked into the OASIS.",4.6,3100,"B-03-03","https://covers.openlibrary.org/b/isbn/9780307887436-L.jpg"
"The Martian","Andy Weir","9780553418026",15,TRUE,"Six days ago, astronaut Mark Watney became one of the first people to walk on Mars. Now, he's sure he'll be the first person to die there.",4.8,3800,"B-03-04","https://covers.openlibrary.org/b/isbn/9780553418026-L.jpg"
"Neuromancer","William Gibson","9780441569595",12,TRUE,"The matrix has its roots in primitive arcade games... Neuromancer is the novel that started it all.",4.5,2200,"B-04-01","https://covers.openlibrary.org/b/isbn/9780441569595-L.jpg"
"Snow Crash","Neal Stephenson","9780553380958",10,TRUE,"Hiro Protagonist may be a dirt-poor deliverator in reality, but in the Metaverse he is a warrior prince.",4.4,1900,"B-04-02","https://covers.openlibrary.org/b/isbn/9780553380958-L.jpg"
"Foundation","Isaac Asimov","9780553293357",14,TRUE,"For twelve thousand years the Galactic Empire has ruled supreme. Now it is dying.",4.6,2500,"B-04-03","https://covers.openlibrary.org/b/isbn/9780553293357-L.jpg"
"I, Robot","Isaac Asimov","9780553294385",16,TRUE,"I, Robot, the first and most widely read book in Asimov's Robot series, forever changed the world's perception of artificial intelligence.",4.5,2700,"B-04-04","https://covers.openlibrary.org/b/isbn/9780553294385-L.jpg"
"A Game of Thrones","George R.R. Martin","9780553103540",25,TRUE,"Long ago, in a time forgotten, a preternatural event threw the seasons out of balance.",4.7,5500,"B-05-01","https://covers.openlibrary.org/b/isbn/9780553103540-L.jpg"
"A Clash of Kings","George R.R. Martin","9780553108033",22,TRUE,"The second volume of A Song of Ice and Fire.",4.7,4800,"B-05-02","https://covers.openlibrary.org/b/isbn/9780553108033-L.jpg"
"Harry Potter and the Sorcerer's Stone","J.K. Rowling","9780590353427",50,TRUE,"Harry Potter has never played a sport while flying on a broomstick. He's never worn a cloak of invisibility...",4.9,8000,"B-05-03","https://covers.openlibrary.org/b/isbn/9780590353427-L.jpg"
"Harry Potter and the Chamber of Secrets","J.K. Rowling","9780439064873",45,TRUE,"The Dursleys were so mean and hideous that summer that all Harry Potter wanted was to get back to the Hogwarts School.",4.8,7500,"B-05-04","https://covers.openlibrary.org/b/isbn/9780439064873-L.jpg"
"Harry Potter and the Prisoner of Azkaban","J.K. Rowling","9780439136358",48,TRUE,"For twelve long years, the dread fortress of Azkaban held an infamous prisoner named Sirius Black.",4.9,7800,"B-06-01","https://covers.openlibrary.org/b/isbn/9780439136358-L.jpg"
"The Name of the Wind","Patrick Rothfuss","9780756404741",18,TRUE,"Told in Kvothe's own voice, this is the tale of the magically gifted young man who grows to be the most notorious wizard his world has ever seen.",4.8,3200,"B-06-02","https://covers.openlibrary.org/b/isbn/9780756404741-L.jpg"
"The Way of Kings","Brandon Sanderson","9780765326355",15,TRUE,"Roshar is a world of stone and storms. Uncanny tempests of incredible power sweep across the rocky terrain.",4.9,3500,"B-06-03","https://covers.openlibrary.org/b/isbn/9780765326355-L.jpg"
"Mistborn: The Final Empire","Brandon Sanderson","9780765311788",17,TRUE,"For a thousand years the ash fell and no flowers bloomed. For a thousand years the Skaa slaved in misery and lived in fear.",4.8,3100,"B-06-04","https://covers.openlibrary.org/b/isbn/9780765311788-L.jpg"
"American Gods","Neil Gaiman","9780380973651",14,TRUE,"Shadow is a man with a past. But now he wants nothing more than to live a quiet life with his wife and stay out of trouble.",4.5,2600,"B-07-01","https://covers.openlibrary.org/b/isbn/9780380973651-L.jpg"
"Good Omens","Neil Gaiman","9780060853983",19,TRUE,"According to The Nice and Accurate Prophecies of Agnes Nutter, Witch, the world will end on a Saturday.",4.6,2800,"B-07-02","https://covers.openlibrary.org/b/isbn/9780060853983-L.jpg"
"Clean Code","Robert C. Martin","9780132350884",10,TRUE,"Even bad code can function. But if code isn't clean, it can bring a development organization to its knees.",4.8,900,"C-01-01","https://covers.openlibrary.org/b/isbn/9780132350884-L.jpg"
"The Clean Coder","Robert C. Martin","9780137081073",8,TRUE,"Programmers who endure and succeed amidst swirling uncertainty and nonstop pressure share a common attribute: They care deeply about the practice.",4.7,850,"C-01-02","https://covers.openlibrary.org/b/isbn/9780137081073-L.jpg"
"Code Complete","Steve McConnell","9780735619678",12,TRUE,"Widely considered one of the best practical guides to programming, Steve McConnell’s original CODE COMPLETE has been helping developers.",4.8,1100,"C-01-03","https://covers.openlibrary.org/b/isbn/9780735619678-L.jpg"
"Refactoring","Martin Fowler","9780134757599",6,TRUE,"Refactoring is a controlled technique for improving the design of an existing code base.",4.7,400,"C-01-04","https://covers.openlibrary.org/b/isbn/9780134757599-L.jpg"
"Head First Design Patterns","Eric Freeman","9780596007126",15,TRUE,"You know you don't want to reinvent the wheel, so you look to Design Patterns--the lessons learned by those who've faced the same software design problems.",4.6,1500,"C-02-01","https://covers.openlibrary.org/b/isbn/9780596007126-L.jpg"
"Design Patterns","Erich Gamma","9780201633610",5,TRUE,"Capturing a wealth of experience about the design of object-oriented software.",4.5,450,"C-02-02","https://covers.openlibrary.org/b/isbn/9780201633610-L.jpg"
"Introduction to Algorithms","Thomas H. Cormen","9780262033848",7,TRUE,"This book provides a comprehensive introduction to the modern study of computer algorithms.",4.7,600,"C-02-03","https://covers.openlibrary.org/b/isbn/9780262033848-L.jpg"
"The Pragmatic Programmer","Andrew Hunt","9780201616224",14,TRUE,"The Pragmatic Programmer cuts through the increasing specialization and technicalities of modern software development.",4.8,1300,"C-02-04","https://covers.openlibrary.org/b/isbn/9780201616224-L.jpg"
"Effective Java","Joshua Bloch","9780134685991",9,TRUE,"The Definitive Guide to Java Platform Best Practices.",4.9,950,"C-03-01","https://covers.openlibrary.org/b/isbn/9780134685991-L.jpg"
"Cracking the Coding Interview","Gayle Laakmann McDowell","9780984782857",20,TRUE,"I am not a recruiter. I am a software engineer. And as such, I know what it's like to be asked to whip up brilliant algorithms on the spot.",4.7,3000,"C-03-02","https://covers.openlibrary.org/b/isbn/9780984782857-L.jpg"
"Python Crash Course","Eric Matthes","9781593279288",25,TRUE,"Python Crash Course is a fast-paced, thorough introduction to programming with Python.",4.8,2200,"C-03-03","https://covers.openlibrary.org/b/isbn/9781593279288-L.jpg"
"Automate the Boring Stuff with Python","Al Sweigart","9781593275990",18,TRUE,"If you've ever spent hours renaming files or updating hundreds of spreadsheet cells, you know how tedious tasks like these can be.",4.7,1800,"C-03-04","https://covers.openlibrary.org/b/isbn/9781593275990-L.jpg"
"You Don't Know JS: Up & Going","Kyle Simpson","9781491924464",12,TRUE,"It’s easy to learn parts of JavaScript, but much harder to learn it completely.",4.6,1000,"C-04-01","https://covers.openlibrary.org/b/isbn/9781491924464-L.jpg"
"Eloquent JavaScript","Marijn Haverbeke","9781593279509",11,TRUE,"JavaScript lies at the heart of almost every modern web application.",4.6,900,"C-04-02","https://covers.openlibrary.org/b/isbn/9781593279509-L.jpg"
"Structure and Interpretation of Computer Programs","Harold Abelson","9780262510875",5,TRUE,"Structure and Interpretation of Computer Programs has had a dramatic impact on computer science curricula.",4.8,600,"C-04-03","https://covers.openlibrary.org/b/isbn/9780262510875-L.jpg"
"Artificial Intelligence: A Modern Approach","Stuart Russell","9780136042594",6,TRUE,"The most comprehensive, up-to-date introduction to the theory and practice of artificial intelligence.",4.7,800,"C-04-04","https://covers.openlibrary.org/b/isbn/9780136042594-L.jpg"
"Deep Learning","Ian Goodfellow","9780262035613",8,TRUE,"An introduction to a broad range of topics in deep learning, covering mathematical and conceptual background.",4.6,700,"C-05-01","https://covers.openlibrary.org/b/isbn/9780262035613-L.jpg"
"The Mythical Man-Month","Frederick P. Brooks Jr.","9780201835953",7,TRUE,"Few books on software management have been as influential and timeless as The Mythical Man-Month.",4.5,1200,"C-05-02","https://covers.openlibrary.org/b/isbn/9780201835953-L.jpg"
"Domain-Driven Design","Eric Evans","9780321125217",5,TRUE,"Domain-Driven Design fills that need. This is not a book about specific technologies. It offers readers a systematic approach.",4.6,600,"C-05-03","https://covers.openlibrary.org/b/isbn/9780321125217-L.jpg"
"Continuous Delivery","Jez Humble","9780321601919",6,TRUE,"Getting software released to users is often a painful, risky, and time-consuming process.",4.7,550,"C-05-04","https://covers.openlibrary.org/b/isbn/9780321601919-L.jpg"
"Atomic Habits","James Clear","9780735211292",40,TRUE,"No matter your goals, Atomic Habits offers a proven framework for improving--every day.",4.9,5000,"D-01-01","https://covers.openlibrary.org/b/isbn/9780735211292-L.jpg"
"The 7 Habits of Highly Effective People","Stephen R. Covey","9780743269513",35,TRUE,"One of the most inspiring and impactful books ever written, The 7 Habits of Highly Effective People has captivated readers for 25 years.",4.7,4500,"D-01-02","https://covers.openlibrary.org/b/isbn/9780743269513-L.jpg"
"How to Win Friends and Influence People","Dale Carnegie","9780671027032",38,TRUE,"You can go after the job you want...and get it! You can take the job you have...and improve it!",4.7,5200,"D-01-03","https://covers.openlibrary.org/b/isbn/9780671027032-L.jpg"
"Think and Grow Rich","Napoleon Hill","9781585424337",30,TRUE,"Think and Grow Rich has been called the Granddaddy of All Motivational Literature.",4.6,4000,"D-01-04","https://covers.openlibrary.org/b/isbn/9781585424337-L.jpg"
"The Power of Now","Eckhart Tolle","9781577314806",20,TRUE,"To make the journey into the Now we will need to leave our analytical mind and its false created self, the ego, behind.",4.5,2500,"D-02-01","https://covers.openlibrary.org/b/isbn/9781577314806-L.jpg"
"Thinking, Fast and Slow","Daniel Kahneman","9780374275631",9,TRUE,"The major New York Times bestseller that challenges the judgments and decisions we make.",4.5,1200,"D-02-02","https://covers.openlibrary.org/b/isbn/9780374275631-L.jpg"
"Quiet","Susan Cain","9780307352156",14,TRUE,"Quiet: The Power of Introverts in a World That Can't Stop Talking.",4.6,1800,"D-02-03","https://covers.openlibrary.org/b/isbn/9780307352156-L.jpg"
"Outliers","Malcolm Gladwell","9780316017930",16,TRUE,"In this stunning book, Malcolm Gladwell takes us on an intellectual journey through the world of outliers.",4.6,2100,"D-02-04","https://covers.openlibrary.org/b/isbn/9780316017930-L.jpg"
"Man's Search for Meaning","Viktor E. Frankl","9780807014295",22,TRUE,"Psychiatrist Viktor Frankl's memoir has riveted generations of readers with its descriptions of life in Nazi death camps.",4.8,3300,"D-03-01","https://covers.openlibrary.org/b/isbn/9780807014295-L.jpg"
"The Four Agreements","Don Miguel Ruiz","9781878424310",18,TRUE,"In The Four Agreements, bestselling author don Miguel Ruiz reveals the source of self-limiting beliefs that rob us of joy.",4.7,2400,"D-03-02","https://covers.openlibrary.org/b/isbn/9781878424310-L.jpg"
"Rich Dad Poor Dad","Robert T. Kiyosaki","9781612680194",32,TRUE,"Rich Dad Poor Dad is Robert's story of growing up with two dads — his real father and the father of his best friend.",4.6,4100,"D-03-03","https://covers.openlibrary.org/b/isbn/9781612680194-L.jpg"
"Zero to One","Peter Thiel","9780804139298",15,TRUE,"The great secret of our time is that there are still uncharted frontiers to explore and new inventions to create.",4.5,1900,"D-03-04","https://covers.openlibrary.org/b/isbn/9780804139298-L.jpg"
"Start with Why","Simon Sinek","9781591846444",20,TRUE,"Simon Sinek started a movement to help people become more inspired at work, and in turn inspire their colleagues and customers.",4.6,2600,"D-04-01","https://covers.openlibrary.org/b/isbn/9781591846444-L.jpg"
"Deep Work","Cal Newport","9781455586691",12,TRUE,"Deep work is the ability to focus without distraction on a cognitively demanding task.",4.6,1400,"D-04-02","https://covers.openlibrary.org/b/isbn/9781455586691-L.jpg"
"Digital Minimalism","Cal Newport","9780525536512",11,TRUE,"Digital Minimalism is a practical philosophy for technology use that has you determine what digital tools add value to your life.",4.5,1100,"D-04-03","https://covers.openlibrary.org/b/isbn/9780525536512-L.jpg"
"Sapiens","Yuval Noah Harari","9780062316097",18,TRUE,"From a renowned historian comes a groundbreaking narrative of humanity’s creation and evolution.",4.6,3200,"E-01-01","https://covers.openlibrary.org/b/isbn/9780062316097-L.jpg"
"Homo Deus","Yuval Noah Harari","9780062464316",16,TRUE,"Yuval Noah Harari envisions a not-too-distant world in which we face a new set of challenges.",4.5,2100,"E-01-02","https://covers.openlibrary.org/b/isbn/9780062464316-L.jpg"
"Guns, Germs, and Steel","Jared Diamond","9780393061314",12,TRUE,"Jared Diamond convincingly argues that geographical and environmental factors shaped the modern world.",4.4,1800,"E-01-03","https://covers.openlibrary.org/b/isbn/9780393061314-L.jpg"
"Educated","Tara Westover","9780399590504",20,TRUE,"Born to survivalists in the mountains of Idaho, Tara Westover was seventeen the first time she set foot in a classroom.",4.7,2900,"E-01-04","https://covers.openlibrary.org/b/isbn/9780399590504-L.jpg"
"Becoming","Michelle Obama","9781524763138",14,TRUE,"In a life filled with meaning and accomplishment, Michelle Obama has emerged as one of the most iconic and compelling women of our era.",4.8,1800,"E-02-01","https://covers.openlibrary.org/b/isbn/9781524763138-L.jpg"
"Steve Jobs","Walter Isaacson","9781451648539",11,TRUE,"Based on more than forty interviews with Jobs conducted over two years.",4.6,1400,"E-02-02","https://covers.openlibrary.org/b/isbn/9781451648539-L.jpg"
"Elon Musk","Ashlee Vance","9780062301239",15,TRUE,"Elon Musk is the renowned entrepreneur and innovator behind PayPal, SpaceX, Tesla, and SolarCity.",4.5,1700,"E-02-03","https://covers.openlibrary.org/b/isbn/9780062301239-L.jpg"
"Shoe Dog","Phil Knight","9781501135910",18,TRUE,"In this candid and riveting memoir, for the first time ever, Nike founder and board chairman Phil Knight shares the inside story.",4.8,2500,"E-02-04","https://covers.openlibrary.org/b/isbn/9781501135910-L.jpg"
"Cosmos","Carl Sagan","9780345331359",16,TRUE,"Cosmos is one of the bestselling science books of all time.",4.8,2200,"E-03-01","https://covers.openlibrary.org/b/isbn/9780345331359-L.jpg"
"A Brief History of Time","Stephen Hawking","9780553380163",13,TRUE,"A landmark volume in science writing by one of the great minds of our time.",4.6,2000,"E-03-02","https://covers.openlibrary.org/b/isbn/9780553380163-L.jpg"
"The Diary of a Young Girl","Anne Frank","9780553296983",25,TRUE,"Discovered in the attic in which she spent the last years of her life, Anne Frank's remarkable diary has since become a world classic.",4.8,3500,"E-03-03","https://covers.openlibrary.org/b/isbn/9780553296983-L.jpg"
"Night","Elie Wiesel","9780374500016",19,TRUE,"Night is a work by Elie Wiesel about his experience with his father in the Nazi German concentration camps.",4.7,2300,"E-03-04","https://covers.openlibrary.org/b/isbn/9780374500016-L.jpg"
"Into the Wild","Jon Krakauer","9780385486804",14,TRUE,"In April 1992 a young man from a well-to-do family hitchhiked to Alaska and walked alone into the wilderness north of Mt. McKinley.",4.5,1600,"E-04-01","https://covers.openlibrary.org/b/isbn/9780385486804-L.jpg"
"Unbroken","Laura Hillenbrand","9781400064168",17,TRUE,"On a May afternoon in 1943, an Army Air Forces bomber crashed into the Pacific Ocean and disappeared.",4.8,2400,"E-04-02","https://covers.openlibrary.org/b/isbn/9781400064168-L.jpg"
"Team of Rivals","Doris Kearns Goodwin","9780684824901",8,TRUE,"The acclaim for Team of Rivals: The Political Genius of Abraham Lincoln has been immense.",4.6,1100,"E-04-03","https://covers.openlibrary.org/b/isbn/9780684824901-L.jpg"
"Alexander Hamilton","Ron Chernow","9780143034759",10,TRUE,"Ron Chernow, the award-winning author of The House of Morgan, yields a landmark biography of Alexander Hamilton.",4.7,1500,"E-04-04","https://covers.openlibrary.org/b/isbn/9780143034759-L.jpg"
